Sl No.,Easting,Northing,Distance,Elevation,CS No.,
1385,771240.1,2575080.0,32.83,-1.845,18,
1386,771240.0,2575080.1,33.00,-1.881,18,
1387,771236.0,2575083.8,38.42,-3.262,18,
1388,771235.8,2575084.0,38.76,-3.331,18,
1389,771232.0,2575087.4,43.84,-5.044,18,
1390,771231.4,2575088.0,44.69,-5.462,18,
1391,771228.0,2575091.1,49.26,-6.808,18,
1392,771227.0,2575092.0,50.62,-7.045,18,
1393,771224.0,2575094.7,54.68,-7.734,18,
1394,771222.6,2575096.0,56.54,-7.911,18,
1395,771220.0,2575098.4,60.10,-8.447,18,
1396,771218.3,2575100.0,62.47,-8.718,18,
1397,771216.0,2575102.1,65.52,-9.069,18,
1398,771213.9,2575104.0,68.40,-9.596,18,
1399,771212.0,2575105.7,70.94,-9.982,18,
1400,771209.5,2575108.0,74.33,-10.605,18,
1401,771208.0,2575109.4,76.36,-10.920,18,
1402,771205.1,2575112.0,80.25,-11.728,18,
1403,771204.0,2575113.0,81.79,-12.090,18,
1404,771200.8,2575116.0,86.18,-12.939,18,
1405,771200.0,2575116.7,87.21,-13.086,18,
1406,771196.4,2575120.0,92.11,-13.746,18,
1407,771196.0,2575120.3,92.63,-13.812,18,
1408,771192.0,2575124.0,98.04,-14.191,18,
1409,771192.0,2575124.0,98.05,-14.192,18,
1410,771188.0,2575127.7,103.47,-14.429,18,
1411,771187.6,2575128.0,103.96,-14.441,18,
1412,771184.0,2575131.3,108.89,-14.604,18,
1413,771183.3,2575132.0,109.89,-14.642,18,
1414,771180.0,2575135.0,114.31,-14.550,18,
1415,771178.9,2575136.0,115.82,-14.567,18,
1416,771176.0,2575138.6,119.73,-14.463,18,
1417,771174.5,2575140.0,121.74,-14.343,18,
1418,771172.0,2575142.3,125.15,-13.842,18,
1419,771170.1,2575144.0,127.67,-13.255,18,
1420,771168.0,2575146.0,130.57,-12.581,18,
1421,771165.8,2575148.0,133.60,-11.582,18,
1422,771164.0,2575149.6,135.99,-10.966,18,
1423,771161.4,2575152.0,139.53,-10.099,18,
1424,771160.0,2575153.3,141.41,-9.771,18,
1425,771157.0,2575156.0,145.45,-9.212,18,
1426,771156.0,2575156.9,146.83,-9.067,18,
1427,771152.6,2575160.0,151.38,-8.784,18,
1428,771152.0,2575160.6,152.25,-8.751,18,
1429,771148.3,2575164.0,157.31,-8.540,18,
1430,771148.0,2575164.2,157.67,-8.529,18,
1431,771144.0,2575167.9,163.09,-8.376,18,
1432,771143.9,2575168.0,163.24,-8.372,18,
1433,771140.0,2575171.6,168.51,-8.349,18,
1434,771139.5,2575172.0,169.16,-8.320,18,
1435,771136.0,2575175.2,173.93,-7.919,18,
1436,771135.1,2575176.0,175.09,-7.834,18,
1437,771132.0,2575178.9,179.35,-7.481,18,
1438,771130.8,2575180.0,181.02,-7.318,18,
